symbol	JZR_ZR50	JZR_ZR71	JZR_ZR56	JZR_ZR9	JZR_ZR92	JZR_ZR21	JZR_CHC60	JZR_ZR84	JZR_CHC81	JZR_CHC107	JZR_ZR70	JZR_ZR2	JZR_ZR26	JZR_CHC164	JZR_ZR62	JZR_ZR47	JZR_ZR89	JZR_ZR18	JZR_CHC016	JZR_ZR54	JZR_CHC121	JZR_ZR1	JZR_ZR90	JZR_ZR25	JZR_ZR61	JZR_CHC99	JZR_ZR67	JZR_ZR82	JZR_ZR88	JZR_ZR17	JZR_CHC170	JZR_ZR32	JZR_ZR53	JZR_ZR59	JZR_ZR24	JZR_CHC168	JZR_ZR81	JZR_CHC154	JZR_ZR87	JZR_ZR31	JZR_ZR5	JZR_ZR58	JZR_ZR73	JZR_ZR79	JZR_ZR44	JZR_ZR80	JZR_ZR86	JZR_ZR36	JZR_CHC18	JZR_CHC124	JZR_ZR4	JZR_ZR64	JZR_ZR85
A1CF	11.199	9.321	11.085	11.024	10.072	11.16	10.923	10.247	10.314	10.619	10.471	10.017	9.784	10.038	10.091	10.083	10.708	9.857	10.456	9.844	10.918	10.219	10.048	11.188	10.55	10.805	10.914	10.465	10.646	10.119	10.206	5.776	10.525	10.292	10.289	10.37	10.593	10.74	10.741	10.243	9.979	10.629	9.662	11.348	10.97	9.713	11.206	9.866	10.468	10.762	10.57	10.75	10.573
A2M	10.101	11.699	12.499	8.871	10.229	11.19	12.698	11.322	11.941	11.849	8.759	11.717	11.8	9.966	11.897	12.269	11.535	12.151	9.623	12.293	12.343	11.744	12.273	11.671	9.88	11.807	9.172	9.891	11.464	11.783	12.318	9.312	10.505	12.05	11.267	10.741	10.832	9.727	9.574	12.251	9.474	10.071	11.959	12.523	9.622	10.638	10.717	11.583	12.669	11.012	10.365	11.073	11.931
A4GALT	4.485	4.329	2.433	3.667	4.536	2.868	3.585	3.322	3.278	3.945	3.733	4.689	4.162	4.087	4.154	4.336	3.524	3.818	3.472	3.293	2.787	2.722	3.548	4.453	3.963	4.426	2.406	2.433	4.053	4.53	4.263	4.916	4.498	4.848	2.807	5.104	3.472	3.907	3.406	3.868	3.689	4.42	3.536	2.963	3.776	4	3.17	4.053	4.392	3.963	2.561	4.717	3.406
A4GNT	4.542	4.603	4.53	5.121	4.655	4.7	5.524	5.498	5.333	4.358	4.863	4.973	4.009	5.789	5.354	4.797	4.379	5.403	5.092	5.186	5.1	4.655	6.495	5.252	5.618	5.389	5.564	5.182	5.954	5.285	4.945	4.807	4.603	5.174	4.009	4.621	5.508	5.87	4.706	4.638	5.049	5.469	5.717	4.771	5.426	4.603	4.907	5.044	4.472	4.991	5.104	5.689	5.991
AAAS	5.579	5.792	5.524	5.166	5.776	6.066	5.83	5.403	5.433	5.34	5.7	5.505	5.482	5.333	5.771	5.501	5.722	5.792	5.603	5.805	5.24	5.75	5.495	5.561	4.684	5.154	6.077	5.036	5.248	3.991	5.916	5.72	5.186	4.621	5.638	6.083	5.479	5.19	5.733	5.87	5.343	5.426	6.202	5.372	4.263	5.396	6.098	6.044	5.307	5.943	5.536	6.345	5.763
AACS	4.336	3.7	4.248	5.977	5.993	5.426	5.092	5.711	6.375	5.585	3.744	6.15	5.853	4.413	6.146	6.168	5.597	5.053	7.227	4.843	6.823	6.7	7.062	5.036	5.146	4.517	5.259	4.883	5.892	5.24	5.67	6.338	6.18	4.892	6.068	5.933	2.744	5.597	5.717	5.681	5.022	4.744	6.031	3.186	4.492	5.776	6.15	5.973	6.331	5.548	6.685	5.45	5.714
AADAC	10.284	7.984	9.939	10.694	10.245	10.209	10.463	10.647	9.146	10.031	10.935	10.066	9.132	10.565	10.016	11.06	10.897	9.9	8.986	10.367	10.825	10.352	8.576	10.349	11.465	11.269	11.371	10.678	9.028	9.96	10.173	2.926	11.511	11.625	9.958	10.876	10.95	9.158	10.13	8.821	10.482	10.976	3.202	10.764	11.243	10.439	10.863	8.85	9.164	10.399	10.55	10.8	9.526
AAGAB	3.202	3.561	3.42	3.459	2.7	3.485	4.968	4.561	4.511	3.733	3.087	4.162	4.479	4.868	4.792	3.35	4.336	3.392	2.678	3.755	3.036	2.828	3.644	3.278	3.433	2.7	5.278	2.766	3.878	2.828	4.912	2.7	3.278	3.433	4.293	2.202	3.104	3.524	2.868	2.609	3.597	4.209	5.72	3.459	5.289	3.609	4.372	2.982	3.621	4.096	2.7	3.104	2.907
AAK1	2.511	1.433	3.186	1.585	1.632	4.154	3.248	1.263	3.561	1.379	1.485	0.848	1.848	1.585	1.536	1.766	1.632	1.379	3.548	1.963	0.926	1.07	3.379	3.17	3.667	3.17	1.722	3.07	2.585	3.678	1.585	4.433	3.7	1.536	0.766	1.766	4.027	3.524	1.379	4.044	2.888	1.848	2.7	1.722	2.263	2.609	3.573	3.973	1	4.129	1.202	2.104	1.963
AAMDC	5.787	6.269	5.678	5.943	5.379	6.168	6.631	5.98	6.18	6.14	7.229	6.74	5.83	7.16	6.667	5.609	7.648	5.83	6.368	5.433	6.516	7.358	6.565	6.109	6.307	4.954	6.955	6.538	6.356	6.525	7.013	5.863	5.883	5.289	7.181	5.35	7.126	5.975	6.079	6.921	6.477	6.168	5.612	5.005	6.352	5.961	5.463	5.555	6.272	6.426	6.446	7.126	5.717
