symbol	GSM2735814	GSM2735815	GSM2735816	GSM2735817	GSM2735818	GSM2735819	GSM2735820	GSM2735821	GSM2735822	GSM2735823	GSM2735824	GSM2735825	GSM2735826	GSM2735827	GSM2735828	GSM2735829	GSM2735830	GSM2735831	GSM2735832	GSM2735833	GSM2735834	GSM2735835
A1BG	10.261	10.064	8.926	9.483	8.437	8.341	8.929	8.329	8.43	8.257	7.566	8.473	7.631	9.066	8.026	7.441	8.077	8.217	9.126	9.25	8.51	8.805
A1CF	8.11	7.714	9.01	7.342	8.381	8.733	8.873	8.53	8.7	9.525	8.812	7.542	10.096	8.757	9.996	9.953	10.498	10.129	9.099	8.473	9.277	9.153
A2M	8.158	8.529	8.632	8.042	10.873	10.122	8.76	9.823	10.149	10.359	11.899	9.451	10.691	10.954	10.452	12.01	11.806	10.285	9.503	9.623	11.281	10.678
A2ML1	5.935	5.669	5.641	5.504	5.637	5.483	5.802	6.078	5.813	5.844	5.528	6.569	5.536	5.629	5.618	5.644	5.706	5.661	5.687	5.445	6.086	5.52
A3GALT2	7.233	7.433	6.643	7.717	6.93	6.939	6.267	6.873	6.344	6.496	6.138	6.875	6.207	6.447	5.584	5.618	6.238	5.881	5.563	6.601	6.34	5.952
A4GALT	5.712	5.977	5.507	6.127	6.525	6.023	5.546	6.144	6.065	6.746	6.554	6.098	5.949	6.8	6.071	6.519	6.317	5.876	6.589	6.769	6.689	6.42
A4GNT	6.208	6.004	6.165	6.017	7.079	7.472	6.17	6.04	5.952	5.98	6.314	5.996	7.502	6.85	6.792	6.032	5.996	6.114	5.902	6.011	6.201	5.701
AAAS	5.774	6.041	5.67	5.499	5.843	5.718	6.316	6.266	6.328	6.335	6.293	6.322	5.937	6.066	6.358	6.056	6.276	5.866	6.356	5.967	6.142	6.075
AACS	6.496	6.304	6.61	6.423	6.562	6.419	6.626	6.322	6.557	6.294	6.666	6.411	6.456	6.429	6.477	6.444	6.384	6.089	6.284	6.249	6.325	6.438
AADAC	7.019	6.519	6.921	6.535	6.717	6.618	6.59	6.875	6.707	7.124	7.829	6.489	7.603	6.874	7.388	7.988	7.599	7.406	7.03	6.719	7.282	7.792
AADACL2	6.237	5.865	5.762	6.018	5.916	5.916	5.8	5.94	5.783	5.864	5.972	5.859	5.95	5.79	5.804	5.717	5.922	5.691	5.865	5.942	5.669	6.095
AADACL4	5.454	5.807	5.532	5.774	5.763	5.617	5.959	5.773	5.84	5.774	5.632	5.682	5.688	5.557	5.688	5.597	5.815	5.58	5.507	5.621	5.519	5.511
AADAT	6.832	6.933	7.855	7.44	6.983	8.312	8.153	7.453	7.233	6.839	7.27	7.229	7.623	6.372	7.938	7.93	7.592	7.788	7.091	7.359	7.118	7.064
AAGAB	6.784	7.876	7.572	7.738	7.207	7.653	7.452	7.487	7.727	7.58	7.263	7.318	7.887	7.976	7.453	7.926	8.29	8.011	7.478	7.287	8.369	7.803
AAK1	5.844	5.937	6.26	6.13	6.286	5.788	6.134	5.805	6.263	5.967	6.393	6.22	5.859	5.717	5.876	6.019	6.165	6.063	5.957	5.941	5.801	5.914
AAMDC	5.89	5.788	5.921	5.845	5.858	6.109	6.029	6.073	5.78	6.312	6.522	5.844	6.373	6.083	6.038	6.045	6.112	6.073	6.181	5.947	5.961	6.033
AAMP	6.344	6.561	6.576	6.379	6.626	6.402	6.558	6.513	6.529	6.637	6.539	6.345	6.505	6.797	6.664	6.857	6.742	6.515	6.437	6.486	6.839	6.76
AANAT	5.507	5.604	5.648	5.778	5.408	5.42	5.948	5.872	5.481	5.734	5.432	5.415	5.526	5.522	5.469	5.497	5.391	5.557	5.435	5.493	5.577	5.407
AAR2	7.357	6.77	6.783	7.254	7.551	7.258	7.113	6.811	6.44	6.482	7.53	6.745	7.021	6.398	6.755	7.158	6.94	7.334	7.347	7.212	7.316	6.957
AARD	5.683	5.748	5.534	5.696	5.578	5.427	5.634	6.368	5.732	5.743	5.594	5.763	5.672	5.847	5.843	5.764	6.06	5.484	5.515	5.973	5.723	5.77
AARS1	12.945	13.459	13.98	13.477	13.258	13.459	13.165	13.599	13.599	13.377	12.717	13.273	12.915	13.432	13.785	12.609	12.833	13.12	12.471	12.404	12.959	12.578
AARS2	6.491	6.084	6.62	6.515	6.422	6.684	6.597	7.085	6.889	6.984	7.065	6.43	6.865	6.652	7.305	6.869	7.045	6.81	6.922	7.135	6.84	6.303
AASDH	6.082	5.758	5.747	5.948	5.929	6.057	5.704	5.772	5.911	6.175	6.222	6.097	6.064	6.011	6.182	6.297	6.177	6.076	6.381	6.181	6.079	5.964
AASDHPPT	6.021	5.972	5.827	5.819	6.096	5.899	5.853	6.121	6.034	5.92	6.192	5.918	6.275	5.91	6.116	6.555	6.303	6.552	6.274	6.305	6.263	6.493
AASS	7.324	6.535	7.371	6.058	6.55	7.125	8.045	6.092	6.701	6.717	6.908	6.674	7.376	6.454	7.857	7.376	7.094	6.71	7.135	6.635	6.795	7.025
AATF	11.535	12.014	11.232	11.877	11.039	10.975	11.327	10.996	11.017	10.588	10.673	11.936	10.186	10.761	9.975	10.289	10.219	10.586	10.865	11.039	10.925	10.741
AATK	5.913	6.789	6.128	6.005	6.473	6.098	6.495	6.317	6.349	6.139	5.868	6.809	6.156	6.194	5.972	6.143	5.763	6.015	6.199	6.404	6.457	6.366
ABAT	6.664	6.897	8.234	6.483	7.402	8.748	8.634	8.275	9.069	9.521	7.912	7.101	9.166	8.991	10.004	10.287	9.938	9.68	8.505	8.436	8.872	8.626
ABCA1	6.96	7.29	8.667	7.734	9.147	9.428	7.96	8.423	9.033	9.743	10.198	7.9	10.754	10.282	9.892	10.783	10.192	9.916	9.102	8.894	10.644	10.28
ABCA10	6.365	6.117	6.299	6.125	5.979	5.949	6.084	6.206	5.932	5.893	6.222	6.322	6.397	6.187	5.816	6.045	6.075	6.069	6.43	6.225	6.161	6.28
ABCA12	6.24	5.702	5.534	5.859	5.936	5.657	5.57	5.484	5.662	5.461	5.567	5.781	5.726	5.778	5.833	5.76	5.677	5.567	5.72	5.735	5.775	5.818
ABCA13	5.369	5.278	5.551	5.22	4.99	5.494	5.334	5.358	5.394	5.418	5.347	5.393	5.268	5.307	5.286	5.589	5.16	5.242	5.576	5.137	5.282	5.548
ABCA2	8.284	7.935	7.706	7.91	7.648	7.564	7.662	7.238	7.116	6.722	6.271	7.865	5.592	6.641	5.888	6.088	6.606	6.621	6.655	7.145	7.522	6.81
ABCA3	5.741	5.671	5.899	5.942	5.878	5.9	6	6.087	5.924	5.9	5.968	5.569	6.1	6.093	6.227	6.175	5.973	5.968	5.662	5.771	5.803	5.718
ABCA4	6.096	5.79	5.881	5.707	5.83	5.694	5.885	5.717	5.742	5.893	5.516	5.718	5.752	5.61	5.816	5.701	5.847	6.023	5.749	5.763	5.906	5.777
ABCA5	10.271	6.654	9.654	8.154	9.175	9.634	9.916	8.505	9.374	7.665	9.573	9.921	9.746	9.565	9.338	8.89	9.487	9.28	9.397	8.369	6.442	9.103
ABCA6	6.966	6.788	7.274	6.734	6.917	7.114	6.636	6.998	6.799	7.467	7.142	6.704	7.434	6.707	6.825	7.64	7.262	7.132	7.344	7.161	6.653	6.426
ABCA7	5.901	6.072	5.799	6.079	5.823	5.671	5.79	5.828	5.988	5.805	5.664	5.977	5.604	5.858	5.804	5.557	5.746	5.452	5.819	5.627	6.253	6.045
