symbol	GSM2737010	GSM2737011	GSM2737012	GSM2737013	GSM2737014	GSM2737015	GSM2737016	GSM2737017	GSM2737018	GSM2737019	GSM2737020	GSM2737021	GSM2737022	GSM2737023	GSM2737024	GSM2737025	GSM2737026	GSM2737027	GSM2737028	GSM2737029	GSM2737030	GSM2737031	GSM2737032	GSM2737033	GSM2737034	GSM2737035	GSM2737036
A1BG	6.928	6.802	6.59	6.766	7.032	6.598	7.492	7.267	6.472	6.637	6.539	6.768	6.726	7.063	7.467	6.541	6.612	7.106	6.97	7.115	6.678	7.653	7.011	6.497	6.466	7.016	6.6
A1CF	10.413	10.111	9.802	10.446	10.156	9.812	10.112	9.651	9.436	9.758	9.687	9.969	9.597	10.061	10.418	10.363	9.022	9.794	10.035	9.622	10.057	10.739	10.311	9.786	9.525	10.597	10.213
A2M	11.094	12.23	11.767	12.106	11.93	11.988	12.14	12.187	10.757	12.009	11.756	11.745	11.943	12.109	11.852	11.728	11.907	12.006	12.023	11.828	11.627	12.174	12.048	11.335	11.654	11.903	11.478
A2ML1	6.26	6.499	6.237	6.241	6.321	6.349	6.23	6.287	6.326	6.313	6.283	6.3	6.358	6.395	6.292	6.176	6.247	6.31	6.253	6.236	6.33	6.278	6.268	6.208	6.254	6.401	6.325
A3GALT2	6.261	6.461	6.259	6.29	6.358	6.366	6.27	6.378	6.226	6.258	6.339	6.275	6.299	6.269	6.422	6.292	6.284	6.372	6.242	6.274	6.257	6.306	6.293	6.316	6.406	6.412	6.325
A4GALT	6.905	6.812	7.195	6.927	7.208	7.232	7.604	7.35	8.414	7.285	7.78	7.019	7.212	7.082	6.95	8.492	7.887	7.432	7.906	7.288	6.839	7.148	7.179	7.148	7.578	7.302	6.749
A4GNT	6.439	6.387	6.451	6.472	6.681	6.496	6.568	6.489	6.515	6.575	6.486	6.556	6.367	6.415	6.669	6.313	6.42	6.517	6.52	6.303	6.248	6.388	6.566	6.526	6.636	6.474	6.353
AAAS	8.123	8.746	8.327	8.215	8.767	8.307	8.814	8.17	7.632	8.084	8.97	8.366	8.345	8.376	8.492	8.969	8.577	8.423	8.511	8.499	9.213	8.956	8.609	7.812	7.795	8.362	8.699
AACS	8.35	7.705	8.472	8.131	8.482	8.139	8.199	8.399	8.715	7.965	8.324	8.427	8.262	8.725	7.873	8.066	8.184	7.791	8.382	8.366	8.165	8.098	7.681	7.78	8.109	7.889	7.83
AADAC	9.266	11.002	8.922	10.793	10.016	10.549	9.95	8.787	10.405	10.29	8.898	9.728	8.784	9.156	10.208	9.881	8.332	9.564	9.941	9.427	9.945	9.38	9.998	8.778	9.074	10.333	8.933
AADACL2	6.25	6.456	6.265	6.278	6.221	6.238	6.25	6.274	6.352	6.323	6.266	6.298	6.475	6.284	6.335	6.295	6.253	6.255	6.343	6.346	6.227	6.25	6.372	6.244	6.201	6.413	6.423
AADACL4	6.366	6.316	6.433	6.422	6.384	6.552	6.397	6.396	6.251	6.402	6.266	6.298	6.347	6.286	6.268	6.272	6.439	6.269	6.276	6.34	6.256	6.323	6.263	6.612	6.487	6.456	6.308
AADAT	6.696	7.192	6.868	7.627	8.256	7.784	7.449	6.944	7.037	6.44	7.381	7.465	6.921	7.301	8.5	6.821	6.401	7.022	6.867	7.543	6.89	6.597	7.785	6.284	7.128	7.993	6.393
AAGAB	11.327	11.139	10.249	10.253	10.845	10.469	9.531	11.072	10.695	10.41	10.729	10.528	10.318	10.618	10.531	11.145	10.967	9.963	10.417	10.151	10.756	10.93	10.728	11.31	10.391	10.833	11.102
AAK1	8.11	8.645	8.597	8.358	7.703	8.228	8.379	8.157	8.309	8.115	8.685	7.895	8.432	8.356	7.891	8.126	8.747	8.442	8.531	8.384	8.472	7.748	8.295	8.066	8.685	8.261	8.046
AAMDC	7.559	7.663	7.527	7.724	7.139	7.557	7.688	7.219	7.711	7.867	7.434	7.709	7.503	7.603	8.043	7.436	7.307	7.082	7.858	7.433	8.051	6.901	7.579	6.485	6.761	8.544	7.584
AAMP	7.959	8.135	7.71	8.107	8.274	8.066	7.743	8.112	8.127	8.447	7.903	8.252	8.167	7.731	8.464	8.059	7.602	7.902	7.742	7.634	7.822	7.991	8.107	7.969	8.032	7.969	7.947
AANAT	6.261	6.226	6.253	6.229	6.302	6.237	6.245	6.325	6.273	6.253	6.261	6.3	6.327	6.263	6.233	6.247	6.292	6.3	6.261	6.235	6.246	6.235	6.231	6.324	6.358	6.299	6.334
AAR2	8.378	8.961	8.592	8.564	8.647	8.766	8.214	8.928	9.679	9.169	8.315	8.451	8.426	8.536	8.01	8.64	8.097	8.103	8.675	8.687	8.817	8.776	8.393	9.437	9.449	8.327	8.481
AARD	6.341	6.31	6.25	6.349	6.291	6.217	6.345	6.228	6.31	6.475	6.24	6.347	6.362	6.318	6.262	6.374	6.378	6.247	6.442	6.304	6.304	6.232	6.383	6.333	6.285	6.235	6.246
AARS1	12.024	12.192	12.192	12.097	12.209	12.255	12.251	12.446	12.037	11.893	12.379	11.857	11.908	12.102	12.077	12.136	12.336	12.329	12.486	12.34	12.094	12.116	12.298	12.284	12.031	12.056	12.082
