symbol	S01	S02	S03	S06	S08	S10	S11	S12	S14	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S29	S30	S31
A2M	12.786	11.65	13.473	13.363	12.542	9.843	13.679	12.109	13.802	15.753	12.995	12.995	13.802	13.978	15.753	13.05	12.923	13.802	14.203	15.335	11.682	12.109	12.693	11.342
ABCB1	9.859	11.397	12.109	9.47	10.498	12.246	8.743	10.444	11.881	11.682	11.516	10.541	10.746	10.919	11.904	10.789	9.66	11.576	10.11	11.541	11.516	11.176	11.445	10.01
ABCF1	10.251	9.082	6.37	9.797	9.629	5.977	10.865	9.993	9.398	9.19	7.423	9.053	9.43	9.252	9.929	6.078	8.704	7.415	8.91	9.064	10.389	9.773	9.242	9.006
ABL1	9.959	7.972	7.921	9.513	9.032	7.662	9.773	9.381	8.975	9.221	8.361	8.869	8.43	8.765	9.134	8.672	9.361	7.616	9.959	8.881	9.128	9.036	8.69	9.283
ADA	10.166	8.435	8.863	8.488	8.923	10.052	8.584	8.578	8.627	8.119	8.574	8.232	8.693	8.653	8.55	8.791	8.748	10.123	8.438	8.143	8.612	8.132	8.393	8.86
ADGRE5	9.724	9.598	9.521	8.653	8.931	10.22	9.959	9.242	9.164	9.707	9.715	9.949	9.27	9.748	10.13	10.15	10.196	9.786	9.006	9.393	7.808	9.663	9.236	9.1
ADORA2A	10.412	8.208	9.116	7.921	8.361	8.944	7.986	8.197	7.97	7.634	8.98	7.806	7.618	8.684	8.717	9.252	8.958	8.484	8.425	7.863	5.727	7.359	8.077	7.204
AGK	9.223	9.573	11.47	8.743	9.019	11.445	9.381	9.303	9.573	8.752	10.427	8.43	9.134	9.168	9.913	9.87	8.748	9.892	9.528	8.958	9.558	9.506	9.521	9.314
AICDA	3.702	3.239	3.371	4.018	4.308	5.977	3.825	4.15	4.17	3.728	4.113	4.458	3.484	3.978	3.998	3.618	3.276	5.251	3.877	3.812	4.613	3.825	3.239	3.968
AIRE	8.497	8.484	9.004	7.475	7.483	9.582	8.525	8.145	6.852	7.332	8.963	7.27	7.46	7.886	8.615	8.757	8.418	9.506	8.405	7.85	8.216	7.751	7.824	7.685
AKT3	10.56	9.748	10.959	10.237	10.327	11.754	8.82	9.767	9.227	9.724	10.56	9.582	9.449	9.564	8.432	10.285	10.251	8.372	9.74	8.967	8.713	9.539	9.634	9.326
ALAS1	7.692	10.007	8.875	10.682	10.279	6.265	9.573	10.903	10.88	10.671	7.616	9.904	11.031	11.221	10.402	7.535	10.08	7.265	9.323	11.275	10.166	12.144	11.495	11.078
ALCAM	6.048	8.528	6.12	9.43	10.262	7.132	8.675	10.123	10.047	10.8	7.123	9.859	10.291	9.34	10.302	6.578	9.344	8.178	9.47	9.164	9.694	10.22	9.707	9.993
AMBP	13.363	13.31	12.391	15.753	13.363	8.881	15.753	15.335	15.753	14.924	12.345	15.753	15.753	15.753	14.924	10.682	15.753	15.753	14.924	16.441	15.753	16.441	15.753	15.335
AMMECR1L	10.737	9.982	11.089	8.898	9.773	12.443	10.22	10.279	9.643	9.479	11.047	9.283	9.592	9.674	9.756	9.859	9.982	11.941	10.302	9.479	10.052	10.01	9.79	10.062
ANP32B	11.708	10.427	9.79	11.368	11.13	10.041	11.576	10.11	10.768	10.997	10.833	10.067	10.166	9.833	11.164	10.858	10.427	11.321	11.47	10.343	10.374	10.522	10.36	10.657
ANXA1	8.713	9.1	6.725	10.08	9.227	3.402	9.982	9.437	9.939	10.737	10.02	10.72	10.572	9.971	9.27	8.937	10.903	6.281	8.383	10.61	7.386	9.782	9.982	9.403
APOE	15.335	15.753	15.753	16.441	13.679	7.63	14.654	15.753	16.441	16.441	13.584	16.441	16.441	16.441	16.441	13.875	16.441	16.441	16.441	15.753	16.441	15.753	16.441	16.441
APP	11.682	9.364	7.792	11.445	11.421	4.676	10.997	12.295	12.854	12.443	9.828	12.345	12.144	10.938	12.443	9.161	13.05	10.61	11.881	11.421	12.051	10.903	12.051	10.02
ARG1	8.745	8.99	10.572	13.221	11.221	8.802	11.736	12.995	11.65	11.445	9.418	11.47	12.109	14.924	10.657	8.246	10.285	10.737	8.597	11.808	12.923	12.391	12.786	10.682
ARG2	7.649	6.725	7.405	8.18	6.048	7.738	7.391	9.294	6.388	6.281	7.525	6.754	5.328	7.228	6.395	6.234	6.155	7.391	6.919	7.372	9.724	7.692	5.815	8.253
ATF1	7.664	5.937	4.14	9.371	9.087	6.641	9.453	9.1	8.615	8.344	5.563	8.706	8.704	8.528	7.449	5.157	7.601	7.046	7.153	7.581	9.67	8.775	8.558	9.446
ATF2	9.521	6.869	5.714	10.004	9.982	6.582	10.327	10.072	9.843	9.777	6.484	9.396	9.413	9.002	10.072	7.001	8.5	7.023	8.361	9.288	9.982	9.863	9.467	9.756
ATG10	8.041	8.119	9.016	8.855	8.875	9.147	8.173	8.549	8.199	7.964	8.14	8.178	8.333	8.781	8.881	8.021	8.153	7.682	7.202	7.988	8.858	8.542	8.612	8.648
ATG12	7.734	7.032	8.327	8.031	7.532	8.073	7.352	7.561	6.758	6.497	8.124	7.232	6.526	8.054	6.947	7.898	7.843	7.209	7.281	6.701	8.126	7.446	7.084	6.863
ATG16L1	10.522	9.648	10.746	9.176	9.592	11.164	9.993	9.358	9.426	8.706	10.166	9.095	9.002	9.5	9.682	9.715	9.773	8.379	9.517	8.732	9.573	9.303	9.303	9.423
ATG5	9.561	8.644	9.539	8.886	8.729	9.913	9.393	9.542	8.91	8.958	9.152	8.875	9.112	8.978	9.04	8.589	8.5	8.427	9.69	9.134	9.736	9.604	9.288	9.036
ATG7	9.236	9.23	9.674	8.975	9.273	9.223	9.437	9.023	9.407	9.236	9.506	9.185	9.303	9.168	9.23	9.496	8.881	8.713	9.016	9.393	9.242	9.682	9.276	9.195
ATM	9.04	7.283	7.17	7.596	7.64	8.062	6.993	7.755	5.977	7.104	7.352	7.703	6	7.088	7.964	7.81	6.981	7.194	8.597	7.656	7.792	6.258	6.858	6.09
AXL	9.549	8.653	8.015	8.578	9.358	9.095	8.802	8.895	8.802	9.344	7.953	9.446	9.506	9.032	8.342	9.098	9.939	7.972	8.473	9.276	7.734	8.266	9.314	8.95
BATF	7.81	7.816	8.418	6.461	8.871	8.067	7.26	6.852	6.938	7.598	8.855	7.679	7.283	7.088	6.328	7.843	6.603	7.306	6.938	6.808	7.346	7.145	6.913	6.625
BAX	10.622	10.547	10.649	10.354	10.444	10.779	10.768	10.374	11.198	10.196	10.196	10.02	10.72	10.317	10.36	10.072	10.737	10.56	10.833	10.302	10.262	10.173	10.183	10.343
BCL10	10.427	10.322	11.837	9.993	10.48	12.295	10.08	10.08	10.637	9.856	11.445	9.756	9.797	9.517	10.354	10.262	9.682	11.47	10.166	9.939	10.978	10.374	9.866	10.818
BCL2	7.856	9.403	8.625	8.14	8.612	7.175	7.495	8.484	7.93	8.531	9.159	8.794	8.457	8.103	8.796	10.139	8.019	8.316	6.754	7.442	8.253	7.42	8.49	8.188
BCL2L1	12.051	10.343	8.067	10.746	10.671	9.298	11.342	10.498	10.402	11.198	8.55	10.833	10.649	10.455	10.978	9.41	10.412	10.412	11.808	10.291	11.808	11.708	10.455	11.047
BCL6	10.21	9.965	6.966	9.652	10.229	5.778	10.01	9.639	10.412	9.387	8.82	9.553	9.314	9.208	9.521	10.997	9.143	6.461	9.592	8.775	9.598	10.135	8.778	9.479
BID	7.642	6.938	7.568	7.05	8.537	7.798	7.073	6.516	8.006	7.394	7.175	7.816	7.46	7.937	7.145	6.448	7.588	9.27	7.646	6.953	8.915	6.625	7.919	8.638
