symbol	GSM358103	GSM358104	GSM358105	GSM358106	GSM358107	GSM358108	GSM358109	GSM358110	GSM358111	GSM358112	GSM358114	GSM358115	GSM358118	GSM358120	GSM358122	GSM358124	GSM358125	GSM358127	GSM358129	GSM358130	GSM358131	GSM358132	GSM358133	GSM358134	GSM358135	GSM358137	GSM358139	GSM358140	GSM358143	GSM358144	GSM358146	GSM358151	GSM358152	GSM358155	GSM358156	GSM358158	GSM358160	GSM358163	GSM358171	GSM358173	GSM358187	GSM358190	GSM358191	GSM358197	GSM358199	GSM358204	GSM358207
A1CF	10.866	11.002	9.977	9.865	10.732	11.175	11.265	10.447	11.249	10.141	10.064	10.721	10.414	11.086	10.612	10.8	9.793	10.835	11.05	10.27	10.211	9.864	9.695	10.423	10.821	10.586	10.217	10.349	10.096	11.199	10.671	10.262	10.366	10.688	10.578	10.692	10.257	10.555	10.302	11.218	10.156	10.445	8.694	10.177	11.124	10.94	10.074
A2M	12.999	12.939	12.831	13.046	13.027	12.756	12.939	13.046	12.414	12.815	13.093	12.661	12.622	12.807	12.278	12.628	12.756	13.167	13.201	12.325	11.883	13.063	12.299	12.677	12.915	12.4	12.625	12.194	11.62	12.677	12.647	12.999	12.348	13.178	13.213	13.046	13.027	12.875	13.063	13.137	10.966	13.063	12.43	13.027	12.955	13.114	12.845
A4GALT	5.864	6.052	6.23	5.981	5.795	5.944	5.985	7.664	5.761	6.969	7.261	6.81	7.159	7.345	7.276	7.779	6.952	7.216	7.349	6.69	6.666	6.871	6.737	7.954	7.49	7.359	7.367	6.675	6.594	7.093	7.249	6.643	6.793	6.793	7.291	7.154	6.717	7.003	6.982	7.813	7.069	6.933	6.477	6.913	6.849	6.774	6.807
A4GNT	5.283	5.32	5.321	5.749	5.316	5.442	5.296	5.262	5.263	4.462	4.383	4.472	4.543	4.391	4.339	4.472	4.415	4.586	4.451	4.462	4.675	4.409	4.559	4.412	4.454	4.519	4.528	4.484	4.551	4.486	4.492	4.572	4.765	4.433	4.27	4.31	4.378	4.421	4.526	4.521	4.334	4.381	4.583	4.427	4.498	4.407	4.465
AAAS	7.303	7.905	7.501	7.184	7.379	7.455	7.434	8.615	6.815	7.034	6.941	7.362	7.208	6.667	7.278	7.921	6.635	7.288	6.906	6.784	7.007	6.743	7.402	6.96	7.298	6.58	7.119	7.217	6.619	7.047	7.203	7.234	6.674	7.01	7.082	6.972	6.806	6.805	6.716	7.064	7.036	6.689	6.857	6.838	7.488	6.801	7.09
AACS	5.838	5.529	6.222	5.918	5.643	6.358	5.977	6.119	6.115	5.864	5.69	5.913	5.6	5.341	5.98	5.615	5.924	5.22	5.978	5.576	5.734	5.331	5.878	5.713	5.532	5.639	5.931	5.294	5.664	5.767	5.73	5.347	5.04	5.591	5.758	5.323	5.281	5.316	5.619	4.967	5.687	5.6	5.618	5.503	5.311	6.065	5.644
AADAC	10.755	10.881	11.223	11.233	11.281	10.373	11.053	10.798	11.145	10.141	11.152	11.115	11.136	11.154	10.814	11.498	10.614	10.526	10.382	10.872	10.903	10.245	10.922	11.569	10.503	10.969	10.664	10.597	10.87	10.816	10.953	10.753	11.268	10.586	10.766	10.406	10.883	10.747	10.597	10.737	11.455	10.782	9.918	10.547	10.28	10.741	10.692
AAGAB	5.772	5.719	5.731	5.884	5.766	5.793	5.751	5.217	6.989	5.659	5.576	5.633	5.873	6.071	6.014	5.702	5.519	4.986	5.687	6.441	6.908	5.774	6.412	5.972	5.51	6.524	5.89	5.693	6.945	5.866	5.938	5.834	6.334	6.073	5.607	5.846	6.075	5.797	5.912	5.204	5.462	5.77	6.196	5.926	6.039	5.707	6.156
AAK1	6.648	6.759	6.608	6.495	6.375	7.202	6.639	7.099	6.389	8.386	7.316	8.156	7.178	7.501	7.421	8.109	7.74	8.057	8.286	8.052	7.37	7.291	8.006	6.917	7.878	6.957	8.074	7.54	7.368	8.221	8.029	8.155	7.541	8.535	7.952	7.815	7.696	7.7	7.253	7.85	7.651	8.029	8.925	7.593	8.71	8.172	7.46
AAMDC	6.804	7.113	7.037	7.269	6.643	6.9	6.965	7.162	8.725	8.156	7.934	7.828	8.066	8.325	7.874	7.848	7.524	8.088	8.29	7.751	9.437	7.483	8.759	8.432	8.151	10.05	8.045	7.877	7.979	8.7	8.325	7.716	8.281	7.693	7.682	7.655	7.832	7.809	7.775	8.528	7.331	7.532	7.516	8.046	7.917	8.316	8.86
