symbol	GSM155932	GSM155933	GSM155934	GSM155935	GSM155936	GSM155937	GSM155938	GSM155939	GSM155940	GSM155941	GSM155942	GSM155943	GSM155944	GSM155945	GSM155946	GSM155949	GSM155950	GSM155953	GSM155954	GSM155955	GSM155956	GSM155957	GSM155958	GSM155959	GSM155960	GSM155962	GSM155963	GSM155983	GSM155985	GSM155986	GSM155987	GSM155990	GSM155991	GSM155992	GSM155993
A1BG	12.823	12.635	12.721	12.752	8.976	10.904	12.631	12.181	12.239	12.525	10.166	11.633	12.157	11.614	11.734	12.039	9.534	8.74	10.701	11.316	12.084	11.005	9.698	12.707	12.585	12.125	11.213	11.196	10.978	10.191	11.721	11.961	12.438	11.236	11.943
A1CF	9.772	9.793	9.763	10.617	7.793	10.054	9.669	9.446	9.98	9.494	9.101	9.536	10.507	10.655	9.79	9.829	9.379	9.272	9.327	11.085	9.073	9.467	10.109	9.616	11.358	10.485	9.764	10.559	10.162	10.782	10.955	10.908	10.431	9.9	10.881
A2M	12.567	13.261	13.212	10.805	11.93	12.217	13.004	12.122	12.781	13.564	12.034	13.111	11.921	11.539	11.689	13.506	11.944	12.608	12.4	9.674	13.242	11.666	11.873	12.441	13.143	12.987	13.163	12.706	12.754	12.815	12.591	11.735	13.215	13.012	11.977
A2ML1	4.199	4.301	3.914	4.187	3.975	3.643	3.864	3.959	3.776	3.925	3.872	3.939	4.359	3.987	3.631	4.1	3.865	4.19	3.903	4.103	4.213	4.001	3.847	3.934	3.919	3.838	4.134	4.101	3.868	4.087	3.989	3.903	4.176	4.202	4.164
A4GALT	6.774	6.662	6.888	6.74	6.407	7.113	7.003	6.953	6.923	6.524	6.879	6.812	6.656	6.81	6.361	6.656	6.474	6.86	6.894	6.791	7.407	6.864	7.618	6.929	6.892	6.639	6.779	6.798	6.217	6.406	6.82	6.442	6.732	6.413	6.397
A4GNT	4.719	4.51	3.931	3.943	3.746	3.852	3.681	3.662	3.972	3.573	3.814	3.783	3.824	3.767	3.945	3.945	3.961	4.036	3.797	3.64	3.817	4.022	4.013	4.001	3.88	3.93	4.008	3.91	4.164	3.987	4.009	4.095	3.672	4.043	4.007
AAAS	6.943	6.666	6.88	6.725	6.897	6.878	6.876	6.739	6.942	7.13	7.31	7.085	7.33	7.016	6.778	7.035	7.039	6.946	7.156	7.037	7.104	6.919	7.472	6.96	6.931	6.957	7.229	6.88	6.684	6.641	6.553	7.117	6.579	6.686	7.078
AACS	4.986	5.843	5.866	5.177	7.009	6.332	6.083	6.147	5.884	6.325	6.262	6.934	5.942	5.815	5.564	5.992	5.964	7.136	7.432	5.396	7.117	6.813	6.413	5.49	5.927	6.652	6.081	5.999	6.106	6.567	5.489	6.114	6.122	7.053	5.478
AADAC	10.156	11.677	11.147	11.095	8.832	11.905	10.235	11.468	11.449	10.797	12.051	9.266	11.59	11.612	11.059	10.901	10.581	7.547	7.832	12.268	8.817	11.028	11.571	11.057	11.385	9.541	10.547	10.305	11.617	10.878	11.126	10.39	11.072	9.335	10.515
AADACL2	3.015	3.002	3.099	2.941	2.888	2.996	2.911	2.992	3.206	3.023	2.993	2.9	3.03	3.071	2.86	3.06	3.12	3.149	3.103	2.906	3.429	3.123	3.352	3.108	2.876	3.104	3.101	2.794	2.956	2.956	2.879	2.972	2.926	3.02	2.876
AADAT	6.386	7.318	6.153	8.584	5.391	6.193	5.07	5.86	5.634	4.876	5.395	5.567	6.544	5.132	6.781	5.717	4.998	5.184	6.364	7.271	4.538	5.636	5.315	5.569	5.553	5.134	6.005	5.836	6.279	6.834	6.331	5.887	5.134	6.387	6.302
AAGAB	7.205	6.524	7.084	7.366	7.407	7.027	7.209	7.067	6.973	7.246	7.076	6.735	6.987	7.181	7.395	7.326	6.945	7.235	6.431	6.919	7.23	6.777	6.489	6.862	7.086	7.091	6.675	6.841	7.256	6.957	7.182	6.759	7.016	6.568	6.587
AAK1	7.978	7.349	8.138	7.68	7.789	8.62	8.459	8.286	8.634	8.37	7.703	8.072	7.556	8.615	8.215	7.918	8.167	8.46	7.741	7.788	7.948	8.063	7.738	7.346	7.402	7.538	7.899	8.603	8.297	7.934	8.269	7.826	8.461	8.653	8.68
AAMDC	7.608	7.336	8.51	7.776	7.135	7.965	7.584	7.335	8.557	7.464	7.526	7.796	7.685	7.523	7.938	7.249	7.216	7.862	7.547	8.462	8.319	6.831	6.996	7.373	7.077	7.413	7.664	8.033	7.139	8.957	7.603	7.28	7.652	9.29	7.632
AAMP	8.604	8.363	8.618	8.336	8.693	8.437	8.412	8.34	8.741	8.088	8.491	8.468	8.225	8.082	8.063	8.615	8.174	8.214	8.904	8.131	8.56	9.162	8.605	8.315	7.986	8.332	8.329	7.692	8.047	8.222	7.957	8.455	8.202	8.543	8.067
AANAT	3.977	4.135	3.845	3.898	3.67	3.824	3.901	3.674	3.961	4.018	4.132	3.564	3.758	3.729	3.53	3.497	3.676	3.61	3.724	3.845	4.249	3.721	4.341	3.848	3.695	3.864	3.919	3.994	3.611	3.59	3.818	3.733	3.808	3.528	3.621
AAR2	7.332	7.3	7.232	7.234	8.092	7.352	7.47	7.193	7.267	7.388	7.613	7.443	7.478	7.18	6.796	7.297	7.366	7.492	7.712	6.962	7.626	7.671	7.523	7.365	7.998	7.593	7.524	6.952	7.108	7.79	7.775	8.186	7.181	7.607	7.586
AARS1	8.879	8.9	8.658	8.816	9.874	9.745	9.143	9.122	8.539	10.148	9.276	9.575	9.782	8.876	8.28	9.184	9.852	8.782	9.642	8.223	9.555	8.9	9.668	8.899	9.239	8.915	9.36	8.636	8.632	7.868	8.768	8.684	9.187	8.391	8.744
AARS2	6.443	5.862	6.802	6.34	6.74	7.184	6.447	6.163	6.747	7.298	6.14	6.742	6.72	6.418	5.959	6.358	6.784	6.602	6.715	6.651	6.679	6.614	6.477	5.825	7.138	7.122	6.783	7.059	6.451	6.907	6.584	7.011	6.525	7.771	6.664
AASDH	5.946	6.103	6.629	6.576	5.919	6.245	6.092	6.307	5.686	6.685	6.73	6.482	6.125	6.432	6.257	6.594	6.67	6.056	6.124	6.791	6.309	6.068	6.375	6.831	6.36	5.984	6.292	6.393	7.016	6.333	7.062	5.993	6.176	6.684	6.294
AASDHPPT	7.386	6.893	7.707	7.589	7.648	7.812	7.299	7.475	7.399	7.572	7.862	8.235	7.388	7.542	8.07	7.729	7.5	7.826	7.624	7.96	6.954	6.89	7.717	7.266	7.682	7.098	6.895	6.53	7.878	7.332	8.468	7.233	7.591	7.289	7.087
AASS	7.977	5.84	5.592	7.972	4.271	6.821	6.741	6.263	6.623	3.628	5.403	4.375	7.557	6.814	7.277	6.948	5.146	3.673	5.326	7.138	3.335	4.332	6.226	5.235	5.853	5.179	6.049	5.202	9.365	6.356	6.82	6.25	5.844	5.67	7.107
AATF	7.687	7.287	7.879	7.666	8.807	8.193	7.793	7.999	7.563	8.184	8.708	8.431	8.284	7.685	7.82	7.937	8.174	8.832	8.748	7.402	8.568	8.186	8.438	7.557	8.468	8.62	9.023	7.757	7.835	7.184	7.815	8.418	8.192	7.968	8.367
AATK	6.837	6.725	6.196	6.392	6.555	6.535	6.359	6.268	6.306	6.629	6.237	6.458	5.721	6.371	6.1	6.315	6.576	6.602	6.622	6.096	6.542	6.142	6.848	6.431	6.643	6.325	6.542	6.621	6.174	5.943	6.418	6.916	6.412	6.53	6.355
