symbol	GSM2225183	GSM2225184	GSM2225185	GSM2225186	GSM2225187	GSM2225188	GSM2225189	GSM2225190	GSM2225191	GSM2225192	GSM2225193	GSM2225194	GSM2225195	GSM2225196	GSM2225197	GSM2225198	GSM2225199	GSM2225200	GSM2225201	GSM2225202	GSM2225203	GSM2225204	GSM2225205	GSM2225206	GSM2225207	GSM2225208	GSM2225209	GSM2225210	GSM2225211	GSM2225212	GSM2225213	GSM2225214	GSM2225215	GSM2225216	GSM2225217	GSM2225218	GSM2225219	GSM2225220
A1BG	8.46	11.617	9.446	10.435	7.305	11.391	10.45	10.718	10.699	10.907	12.109	12.448	11.401	11.011	12.072	10.511	7.3	10.944	11.175	8.313	9.998	10.068	10.25	11.332	8.856	10.806	8.829	9.979	11.158	9.692	10.787	10.943	7.32	10.767	11.133	9.32	10.353	8.63
A1CF	8.889	9.398	10.066	9.55	9.64	10.047	10.498	10.205	10.24	10.711	9.987	10.568	10.103	10.206	10.376	9.479	8.876	10.66	10.475	10.765	9.77	10.331	10.659	10.345	10.004	9.15	9.938	9.574	9.942	9.112	10.134	10.833	9.645	9.839	9.39	9.586	9.255	8.332
A2M	12.553	12.378	11.524	12.211	10.144	11.995	10.906	12.296	11.583	12.282	12.335	11.221	12.304	13.514	11.528	11.789	10.617	12.352	12.805	12.398	9.67	12.245	12.75	12.394	10.479	12.037	12.857	11.128	11.978	12.748	12.297	12.792	11.424	11.69	12.004	9.278	12.887	12.687
A2ML1	2.573	2.347	2.296	2.509	2.391	2.478	2.71	2.236	2.429	2.103	2.375	2.525	2.693	2.344	2.786	2.629	2.441	2.962	2.503	2.355	2.81	2.624	2.298	2.372	2.608	2.488	2.277	2.262	2.849	2.907	2.722	2.466	2.349	2.67	2.507	2.477	2.636	2.248
A4GALT	5.924	5.648	5.671	5.705	7.186	6.286	5.073	5.944	5.37	5.661	5.623	5.694	5.556	5.284	4.839	5.44	5.459	5.872	5.995	5.776	6.28	5.618	5.392	5.789	5.93	5.779	5.223	5.643	5.991	5.635	6.085	5.663	5.753	5.463	5.2	5.456	5.485	5.336
A4GNT	4.46	3.805	3.569	4.315	3.878	4.239	4.001	4.006	4.036	3.879	3.946	3.856	4.114	3.926	4.132	3.831	3.888	4.62	4.382	3.942	4.631	4.399	3.407	4.104	3.88	4.527	3.778	4.054	3.928	4.621	4.113	3.91	3.756	4.158	3.828	4.234	3.914	3.746
AAAS	8.859	9.104	7.796	8.154	8.751	9.133	8.362	8.619	8.863	9.265	8.355	8.519	8.835	8.714	8.62	8.224	8.627	8.682	8.966	8.296	8.9	8.719	8.723	8.098	8.691	8.509	9.038	8.66	9.442	8.547	8.158	8.253	8.597	8.971	8.543	9.372	8.553	8.472
AACS	7.679	7.461	7.41	7.345	7.109	7.025	6.599	7.085	7.399	6.383	6.629	6.521	6.973	6.575	6.376	7.828	7.531	6.59	6.287	6.941	7.485	6.879	6.177	6.559	7.434	6.72	7.047	6.91	7.958	7.803	6.94	6.715	7.34	7.29	7.001	8.031	6.688	7.636
AADAC	7.957	10.388	10.592	10.485	10.85	10.112	11.409	11.42	11.28	11.56	10.834	10.308	10.812	10.189	11.132	9.41	9.116	9.715	11.06	9.369	10.932	10.596	10.124	11.303	11.425	11.21	11.01	10.265	10.906	9.681	10.642	10.767	8.521	10.774	11.157	8.827	10.18	7.957
AADACL2	2.596	2.64	2.462	2.665	2.514	3.023	2.908	2.796	2.562	2.507	2.569	2.802	2.98	2.663	2.757	2.791	2.505	3.155	2.996	2.574	2.853	2.647	2.398	2.605	3.015	2.898	2.469	2.629	2.816	2.82	2.608	2.939	2.489	2.675	2.674	2.67	2.727	2.487
AADAT	5.496	7.033	6.66	4.435	5.871	5.194	7.112	5.91	5.467	5.97	6.605	7.154	6.005	5.547	6.016	5.957	5.269	7.949	7.31	6.085	5.779	5.98	5.905	8.042	5.795	7.666	5.496	5.835	5.277	5.326	5.185	6.758	5.016	5.702	6.279	5.824	4.626	5.527
AAGAB	8.373	8.665	8.341	8.123	8.803	8.066	8.637	8.167	8.021	8.038	7.951	8.347	7.477	8.179	8.314	8.055	8.885	7.71	7.887	8.004	8.713	8.232	7.75	7.725	8.131	8.195	8.688	7.956	7.726	8.804	8.368	7.662	8.394	8.499	9.105	9.034	7.899	8.462
AAK1	7.707	7.842	7.087	7.169	7.137	6.645	7.131	7.069	7.366	7.367	6.916	6.65	7.443	6.963	6.322	7.324	8.096	6.733	6.699	7.513	7.441	6.835	6.999	6.862	7.621	6.38	7.518	7.169	7.507	6.914	7.572	7.095	7.706	7.639	7.936	7.745	7.658	7.844
AAMP	8.767	9.155	8.605	8.945	8.708	9.01	9.808	8.795	8.787	8.639	9.109	9.196	9.661	8.589	9.383	8.868	9.402	8.517	8.671	8.265	9.28	8.663	9.004	8.74	9.221	9.027	9.782	9.034	8.73	9.276	8.889	8.75	9.212	9.026	8.736	9.143	8.506	8.756
AANAT	5.164	5.446	5.17	5.769	5.422	6.075	4.971	4.845	5.102	5.484	5.163	4.662	5.734	5.42	4.868	5.214	5.299	6.011	5.719	5.816	6.283	5.752	5.132	5.488	5.438	5.19	5.153	5.199	5.81	5.181	5.719	5.311	4.788	5.267	5.305	5.432	5.137	4.983
AAR2	7.417	7.406	7.429	7.522	7.848	7.846	7.175	7.233	7.425	7.739	7.679	7.83	7.494	7.484	8.21	7.516	7.659	7.714	7.352	7.609	7.27	7.674	7.181	6.856	7.474	8.47	7.773	7.264	7.533	8.294	7.299	7.35	7.672	7.493	7.367	7.738	7.408	7.48
AARS1	9.602	10.239	9.967	9.887	9.079	9.733	10.402	10.353	10.172	10.448	10.277	9.998	10.827	9.785	9.973	9.991	11.177	10.424	8.817	9.789	10.325	11.407	10.22	8.652	10.916	9.08	9.472	9.694	9.906	9.612	10.413	9.836	9.969	10.139	9.677	10.296	9.757	10.576
AARS2	7.196	6.915	6.375	7.085	7.206	7.14	7.212	7.009	6.829	7.578	7.065	7.462	7.531	6.858	7.81	7.199	7.186	7.134	6.907	7.098	7.414	6.91	7.428	6.614	7.402	7.281	7.238	6.839	7.146	6.832	7.004	6.748	6.878	7.08	7.09	7.009	6.801	6.772
AARSD1	7.735	6.96	7.544	7.39	7.943	7.813	7.658	7.519	7.39	7.698	7.398	8.129	7.904	7.309	7.838	7.618	7.928	7.841	7.635	8.374	8.224	7.723	7.912	7.207	7.588	7.864	8.586	7.516	7.738	7.542	7.638	7.604	7.164	7.55	7.001	7.331	7.248	7.428
