symbol	HCC.1.T	HCC.3.T	HCC.4.T	HCC.8.T	HCC.10.T	HCC.11.T	HCC.17.T	HCC.20.T	HCC.21.T	HCC.22.T	HCC.23.T	HCC.24.T	HCC.26.T	HCC.27.T	HCC.29.T	HCC.30.T	HCC.31.T	HCC.32.T	HCC.33.T	HCC.34.T	HCC.36.T	HCC.37.T
A1BG	7.019	7.16	7.044	6.945	7.306	7.039	6.971	6.856	7.111	7.682	7.11	7.896	6.946	7.147	6.998	6.834	7.197	7.089	7.277	7.19	7.087	7.269
A1CF	11.972	11.537	11.906	12.01	12.333	12.759	13.132	8.723	11.782	12.445	11.614	11.804	12.477	12.781	10.888	9.533	12.692	12.284	12.804	12.244	12.386	12.659
A2M	9.112	11.309	12.664	12.141	13.266	13.961	12.182	12.388	12.812	13.737	12.751	12.681	10.26	9.653	12.704	10.442	11.845	10.913	13.715	10.305	12.857	11.976
A2ML1	6.719	6.68	6.634	6.903	6.674	6.8	6.764	6.677	6.792	6.749	6.768	6.678	6.802	6.798	6.717	6.869	6.699	6.71	6.746	6.904	6.785	6.638
A3GALT2	6.861	6.982	6.964	6.854	7.005	6.753	6.945	6.814	6.848	6.855	6.839	6.842	6.929	7.038	6.998	6.777	6.685	6.766	6.852	6.79	6.961	6.865
A4GALT	7.198	6.93	6.928	8.333	7.601	6.954	7.049	7.617	6.956	6.818	7.127	7.041	7.577	7.013	7.04	6.935	6.935	8.162	6.992	7.175	7.026	7.033
A4GNT	7.124	6.976	7.031	7.467	7.058	7.071	7.101	7.113	7.035	6.963	7.052	7.191	7.096	7.056	6.891	6.909	7.128	7.022	7.114	7.069	7.079	7.027
AAAS	7.905	7.444	7.388	7.48	7.285	7.308	7.413	7.315	7.143	7.687	7.44	7.365	7.419	7.431	7.368	7.277	7.311	7.298	7.328	7.209	7.413	7.54
AACS	7.56	7.518	7.369	7.596	7.283	7.131	7.215	7.348	7.177	7.144	7.506	7.396	7.714	7.053	8.284	8.07	7.237	7.096	7.55	7.057	7.062	7.251
AADAC	9.851	11.496	12.832	11.251	11.603	12.499	12.867	7.555	12.625	12.071	11.961	12.018	13.38	11.636	10.761	8.237	12.342	12.206	12.24	12.141	11.781	11.781
AADACL2	6.764	6.843	6.811	6.966	6.851	6.853	6.892	6.925	6.807	6.924	6.86	6.868	6.92	6.855	6.816	6.846	6.783	6.903	6.948	6.839	6.823	6.851
AADACL3	6.893	7.016	7.062	6.963	7.007	6.945	7.009	7	6.859	6.857	6.869	6.848	6.908	7.016	7.091	6.853	6.808	6.936	6.892	7.038	7.02	6.916
AADACL4	7.013	6.854	6.966	6.949	6.95	6.937	6.95	6.954	7.07	6.916	6.877	6.859	6.715	6.896	7.1	6.924	6.738	6.742	7.034	6.876	6.868	6.986
AADAT	7.092	8.298	8.184	7.61	7.804	9.513	8.627	7.589	8.836	9.65	7.811	8.153	7.593	8.896	7.416	8.526	10.271	9.049	7.208	8.19	10.324	8.801
AAGAB	8.37	8.131	7.888	9.13	8.069	8.176	7.86	8.595	7.909	8.283	8.215	8.4	8.064	8.137	8.736	8.555	8.222	7.927	8.513	8.472	7.94	8.036
