"","x"
"T1013","3"
"T1015","3"
"T1021","3"
"T1025","5"
"T1027","3"
"T1031","5"
"T1041","4"
"T1043","5"
"T1045","6"
"T112","3"
"T113","6"
"T123","3"
"T125","2"
"T127","4"
"T131","1"
"T135","2"
"T137","6"
"T141","6"
"T145","7"
"T147","3"
"T161","3"
"T171","3"
"T187","7"
"T191","2"
"T195","7"
"T211","2"
"T217","2"
"T221","5"
"T223","7"
"T227","5"
"T231","4"
"T257","3"
"T261","4"
"T267","3"
"T271","5"
"T277","3"
"T283","2"
"T285","1"
"T311","2"
"T313","3"
"T327","6"
"T331","1"
"T341","3"
"T343","1"
"T351","1"
"T353","6"
"T355","3"
"T357","3"
"T361","6"
"T363","5"
"T365","6"
"T367","1"
"T375","2"
"T383","2"
"T385","2"
"T387","2"
"T391","2"
"T393","3"
"T395","7"
"T411","3"
"T413","1"
"T415","7"
"T421","7"
"T423","6"
"T425","3"
"T427","2"
"T431","3"
"T433","7"
"T435","3"
"T443","3"
"T445","3"
"T451","4"
"T455","7"
"T461","7"
"T463","1"
"T465","3"
"T467","7"
"T471","7"
"T473","1"
"T477","6"
"T481","6"
"T483","7"
"T487","3"
"T491","2"
"T493","2"
"T497","1"
"T513","6"
"T515","6"
"T517","1"
"T523","3"
"T525","2"
"T527","1"
"T533","3"
"T537","1"
"T545","2"
"T553","5"
"T557","4"
"T563","7"
"T567","1"
"T571","3"
"T573","2"
"T615","6"
"T617","7"
"T627","6"
"T635","3"
"T641","5"
"T647","3"
"T661","2"
"T663","3"
"T665","4"
"T671","1"
"T685","4"
"T695","3"
"T713","7"
"T715","4"
"T721","7"
"T724","2"
"T727","5"
"T737","3"
"T741","4"
"T743","1"
"T745","3"
"T755","4"
"T777","6"
"T785","6"
"T813","1"
"T815","1"
"T817","2"
"T823","7"
"T851","2"
"T857","7"
"T861","4"
"T863","6"
"T865","3"
"T867","4"
"T873","6"
"T877","1"
"T881","7"
"T883","5"
"T911","4"
"T913","6"
"T915","4"
"T917","2"
"T921","5"
"T923","2"
"T925","7"
"T937","7"
"T943","2"
"T951","1"
"T953","3"
"T955","7"
"T957","3"
"T963","5"
"T965","1"
"T967","1"
"T975","5"
"T977","4"
"T981","4"
"T983","1"
