"","datasetID","sampleID","predict.cluster","predict.cluster_withmultiple","NO.vote.1","NO.vote.2","NO.vote.3","NO.vote.4","NO.vote.5","NO.vote.6","NO.vote.7","class_1_vs_2.Pwilcox_greater","class_1_vs_3.Pwilcox_greater","class_1_vs_4.Pwilcox_greater","class_1_vs_5.Pwilcox_greater","class_1_vs_6.Pwilcox_greater","class_1_vs_7.Pwilcox_greater","class_2_vs_1.Pwilcox_greater","class_2_vs_3.Pwilcox_greater","class_2_vs_4.Pwilcox_greater","class_2_vs_5.Pwilcox_greater","class_2_vs_6.Pwilcox_greater","class_2_vs_7.Pwilcox_greater","class_3_vs_1.Pwilcox_greater","class_3_vs_2.Pwilcox_greater","class_3_vs_4.Pwilcox_greater","class_3_vs_5.Pwilcox_greater","class_3_vs_6.Pwilcox_greater","class_3_vs_7.Pwilcox_greater","class_4_vs_1.Pwilcox_greater","class_4_vs_2.Pwilcox_greater","class_4_vs_3.Pwilcox_greater","class_4_vs_5.Pwilcox_greater","class_4_vs_6.Pwilcox_greater","class_4_vs_7.Pwilcox_greater","class_5_vs_1.Pwilcox_greater","class_5_vs_2.Pwilcox_greater","class_5_vs_3.Pwilcox_greater","class_5_vs_4.Pwilcox_greater","class_5_vs_6.Pwilcox_greater","class_5_vs_7.Pwilcox_greater","class_6_vs_1.Pwilcox_greater","class_6_vs_2.Pwilcox_greater","class_6_vs_3.Pwilcox_greater","class_6_vs_4.Pwilcox_greater","class_6_vs_5.Pwilcox_greater","class_6_vs_7.Pwilcox_greater","class_7_vs_1.Pwilcox_greater","class_7_vs_2.Pwilcox_greater","class_7_vs_3.Pwilcox_greater","class_7_vs_4.Pwilcox_greater","class_7_vs_5.Pwilcox_greater","class_7_vs_6.Pwilcox_greater"
"1","CHCC_HBV","T1013","3","3","4","1","6","0","0","0","0","1.02e-01","1.00e+00","2.64e-04","3.56e-06","8.51e-06","7.94e-14","9.18e-01","1.00e+00","1.07e-01","5.63e-01","1.11e-02","1.18e-05","1.72e-10","2.84e-13","1.14e-18","4.65e-14","9.32e-17","2.96e-19","1.00e+00","8.94e-01","1.00e+00","8.40e-01","9.99e-01","2.11e-02","1.00e+00","4.43e-01","1.00e+00","1.62e-01","3.22e-01","8.12e-02","1.00e+00","9.89e-01","1.00e+00","1.39e-03","6.80e-01","1.02e-02","1.00e+00","1.00e+00","1.00e+00","9.79e-01","9.22e-01","9.91e-01"
"2","CHCC_HBV","T1015","3","3","1","0","5","4","0","2","0","4.10e-01","1.00e+00","1.00e+00","1.46e-01","9.95e-01","4.78e-04","6.33e-01","1.00e+00","1.00e+00","9.70e-01","9.74e-01","9.06e-01","3.88e-08","1.99e-13","4.00e-01","7.48e-09","7.15e-09","2.42e-14","6.14e-07","9.87e-09","6.01e-01","1.87e-05","1.82e-02","1.38e-06","8.56e-01","3.15e-02","1.00e+00","1.00e+00","1.00e+00","9.82e-01","5.46e-03","2.65e-02","1.00e+00","9.82e-01","6.83e-05","2.67e-04","1.00e+00","9.54e-02","1.00e+00","1.00e+00","1.93e-02","1.00e+00"
"3","CHCC_HBV","T1021","3","3","4","3","5","0","2","0","0","1.80e-01","2.36e-01","2.85e-08","6.40e-06","2.46e-09","7.27e-13","8.50e-01","1.00e+00","7.90e-04","9.52e-01","9.13e-08","1.80e-04","7.66e-01","1.64e-06","3.65e-13","1.33e-04","1.25e-16","1.30e-18","1.00e+00","9.99e-01","1.00e+00","1.00e+00","1.99e-01","8.99e-02","1.00e+00","4.93e-02","1.00e+00","5.11e-05","1.05e-09","1.50e-02","1.00e+00","1.00e+00","1.00e+00","8.04e-01","1.00e+00","8.68e-01","1.00e+00","1.00e+00","1.00e+00","9.11e-01","9.86e-01","1.42e-01"
"4","CHCC_HBV","T1025","5","5","0","0","1","0","6","1","3","2.73e-02","2.41e-01","6.31e-01","1.00e+00","9.88e-01","1.00e+00","9.80e-01","1.00e+00","5.60e-01","1.00e+00","9.58e-01","1.00e+00","7.61e-01","2.29e-05","1.09e-01","1.00e+00","1.00e+00","1.00e+00","3.71e-01","4.42e-01","8.92e-01","1.00e+00","9.89e-01","9.95e-01","2.69e-09","2.77e-09","1.03e-11","3.10e-11","5.01e-13","1.51e-05","1.20e-02","4.29e-02","2.34e-05","1.16e-02","1.00e+00","9.59e-01","5.62e-06","2.12e-06","1.81e-06","5.43e-03","1.00e+00","4.49e-02"
"5","CHCC_HBV","T1027","3","3","1","0","6","1","1","0","0","3.71e-02","1.00e+00","6.10e-01","1.19e-01","6.36e-01","3.50e-07","9.73e-01","1.00e+00","9.94e-01","1.00e+00","9.72e-01","6.16e-01","1.72e-10","2.84e-14","1.20e-13","4.22e-12","2.94e-13","2.82e-17","3.92e-01","6.22e-03","1.00e+00","9.32e-01","9.28e-01","1.05e-04","8.82e-01","2.31e-05","1.00e+00","6.87e-02","9.01e-01","4.07e-02","3.67e-01","2.87e-02","1.00e+00","7.35e-02","9.99e-02","1.04e-02","1.00e+00","3.87e-01","1.00e+00","1.00e+00","9.61e-01","9.91e-01"
"6","CHCC_HBV","T1031","5","5","1","1","0","0","6","0","2","5.45e-01","5.15e-02","1.72e-03","1.00e+00","3.74e-05","9.91e-01","5.00e-01","1.56e-01","2.03e-03","1.00e+00","1.37e-04","6.73e-01","9.49e-01","8.46e-01","5.19e-01","1.00e+00","3.26e-01","1.00e+00","9.98e-01","9.98e-01","4.82e-01","1.00e+00","9.41e-01","9.95e-01","3.36e-10","3.64e-12","3.95e-14","2.64e-11","3.95e-14","7.45e-09","1.00e+00","1.00e+00","6.76e-01","6.05e-02","1.00e+00","1.00e+00","9.19e-03","3.29e-01","1.28e-06","5.03e-03","1.00e+00","7.63e-06"
"7","CHCC_HBV","T1041","4","4","0","0","2","6","3","4","3","8.98e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.25e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","2.48e-09","1.23e-06","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.27e-15","2.78e-16","9.82e-19","2.64e-11","1.14e-13","2.67e-13","8.54e-07","2.59e-07","7.72e-07","1.00e+00","1.00e+00","7.34e-01","5.48e-12","1.38e-09","1.05e-12","1.00e+00","7.12e-07","1.92e-02","7.59e-12","9.39e-10","8.52e-12","1.00e+00","2.74e-01","9.83e-01"
"8","CHCC_HBV","T1043","5","5","0","0","1","0","6","0","0","6.74e-01","9.14e-01","3.38e-01","1.00e+00","9.64e-02","7.67e-01","3.67e-01","7.35e-01","1.45e-02","1.00e+00","1.45e-01","9.53e-01","8.73e-02","2.69e-01","3.71e-01","1.00e+00","1.12e-04","8.90e-01","6.64e-01","9.86e-01","6.30e-01","1.00e+00","7.30e-01","7.94e-01","4.46e-08","6.95e-08","1.15e-09","4.29e-10","4.06e-12","1.86e-07","9.05e-01","8.57e-01","1.00e+00","2.74e-01","1.00e+00","9.99e-01","2.34e-01","4.80e-02","1.11e-01","2.07e-01","1.00e+00","1.17e-03"
"9","CHCC_HBV","T1045","6","6","0","0","2","2","3","6","4","4.55e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","5.90e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","2.26e-10","7.86e-11","9.33e-01","1.00e+00","1.00e+00","1.00e+00","7.60e-09","2.52e-05","6.76e-02","9.93e-01","1.00e+00","1.00e+00","1.01e-08","2.27e-06","1.81e-04","6.74e-03","1.00e+00","9.39e-01","5.73e-13","6.02e-12","6.06e-17","1.14e-13","1.36e-09","5.23e-04","2.75e-15","2.73e-11","3.51e-15","2.40e-07","6.43e-02","1.00e+00"
"10","CHCC_HBV","T112","3","3","1","0","6","1","1","0","0","1.02e-01","1.00e+00","9.13e-01","7.86e-01","5.16e-01","6.81e-07","9.18e-01","1.00e+00","9.90e-01","1.00e+00","9.92e-01","8.47e-01","2.37e-10","1.56e-12","3.48e-12","6.78e-09","1.37e-15","1.28e-17","8.77e-02","1.00e-02","1.00e+00","9.69e-01","6.94e-01","2.21e-04","2.17e-01","5.18e-06","1.00e+00","3.12e-02","6.11e-03","2.31e-03","4.86e-01","8.57e-03","1.00e+00","3.10e-01","9.94e-01","4.49e-02","1.00e+00","1.55e-01","1.00e+00","1.00e+00","9.98e-01","9.59e-01"
