"","class_1_vs_2","class_1_vs_3","class_1_vs_4","class_1_vs_5","class_1_vs_6","class_1_vs_7","class_2_vs_1","class_2_vs_3","class_2_vs_4","class_2_vs_5","class_2_vs_6","class_2_vs_7","class_3_vs_1","class_3_vs_2","class_3_vs_4","class_3_vs_5","class_3_vs_6","class_3_vs_7","class_4_vs_1","class_4_vs_2","class_4_vs_3","class_4_vs_5","class_4_vs_6","class_4_vs_7","class_5_vs_1","class_5_vs_2","class_5_vs_3","class_5_vs_4","class_5_vs_6","class_5_vs_7","class_6_vs_1","class_6_vs_2","class_6_vs_3","class_6_vs_4","class_6_vs_5","class_6_vs_7","class_7_vs_1","class_7_vs_2","class_7_vs_3","class_7_vs_4","class_7_vs_5","class_7_vs_6"
"T1013",0.1015625,0.999999999835998,0.000263746303277911,3.56257525624278e-06,8.5085307689907e-06,7.94332467265941e-14,0.91796875,0.999999999999801,0.107080221469882,0.562639988995215,0.0111385473298808,1.18244560079555e-05,1.71758317363684e-10,2.8421709430404e-13,1.13803973200849e-18,4.6476909188752e-14,9.32437726437624e-17,2.95986188548806e-19,0.999740672958983,0.893698314050305,1,0.839681816040451,0.998672467923484,0.0210923959864531,0.999996590941092,0.443014665772353,0.999999999999955,0.162261495389297,0.321694503910885,0.0811764448881149,0.999991728147093,0.989065080023062,1,0.00138640776515331,0.680314107045065,0.0101821500221566,0.999999999999923,0.999988575686756,1,0.97921517537469,0.92243318259716,0.991031240039007
"T1015",0.41015625,0.999999962736175,0.999999400109029,0.145823593217336,0.994640999640299,0.000477517560326104,0.6328125,0.999999999999858,0.999999990369071,0.969577608771942,0.97393552003203,0.905946396935084,3.87796744165698e-08,1.98951966012828e-13,0.399862963584902,7.48159725720187e-09,7.15237952156357e-09,2.41757239447042e-14,6.13789529389341e-07,9.86963060619758e-09,0.60142605376686,1.86528182948383e-05,0.01816886624988,1.37871483605242e-06,0.856310391000855,0.0314658771858376,0.999999992749793,0.99998198045883,0.999933154271813,0.981896936893463,0.00545584380676759,0.0264917013814777,0.999999993011002,0.982382924166018,6.8320707003272e-05,0.00026702880859375,0.99952928969166,0.0953592072371369,0.999999999999976,0.999998662749215,0.0192670598626137,0.999790191650391
"T1021",0.1796875,0.236293079633547,2.8537564838835e-08,6.4043230773859e-06,2.45810501979685e-09,7.27487724698896e-13,0.849609375,0.999998475588654,0.000790257981909395,0.952168445255666,9.12886862913261e-08,0.000180271529183817,0.765915167249676,1.63679212050738e-06,3.64846579227432e-13,0.000132578072813571,1.25458981635082e-16,1.30422626053609e-18,0.999999972179277,0.999221143561485,0.999999999999644,0.99995052493775,0.199192438081127,0.089924096751699,0.999993864661463,0.0493243562887074,0.99987017344595,5.11214190490559e-05,1.04530057024212e-09,0.0149524956941605,0.999999997632544,0.999999912102476,1,0.804152844942905,0.999999998988775,0.86773681640625,0.999999999999293,0.999825115915115,1,0.911063486963706,0.985990986227989,0.141864776611328
"T1025",0.02734375,0.241017565138916,0.630697137703095,0.999999997457841,0.988225517328541,0.999994483869222,0.98046875,0.999978436734551,0.559716375716277,0.999999997671694,0.957711386428416,0.999997954423206,0.761270292348981,2.28611035026916e-05,0.10908520798718,0.999999999990068,0.999976959598708,0.999998220475963,0.37101731786491,0.44195368148916,0.891546660498402,0.999999999970624,0.988751552383633,0.994660179805069,2.68928370522411e-09,2.77213985100389e-09,1.03130752226005e-11,3.09798317015596e-11,5.00642291543095e-13,1.51172280311584e-05,0.0119677668267766,0.0429244968793956,2.34354128247283e-05,0.0116270696838683,0.999999999999519,0.959285736083984,5.61923354905077e-06,2.1230803949085e-06,1.80763462097775e-06,0.00543218691447418,0.999987065792084,0.0448837280273438
"T1027",0.037109375,0.999999999835998,0.609961333260998,0.119458113800961,0.635587452441442,3.50231810100495e-07,0.97265625,1,0.993859159884991,0.999978633455612,0.971740475544623,0.615700983522379,1.71758317363684e-10,2.8421709430404e-14,1.20280061895448e-13,4.21542715860753e-12,2.93655801328777e-13,2.82161235757182e-17,0.391781770175064,0.00621597981600408,0.999999999999883,0.932372860756335,0.928220495476694,0.000104705534269763,0.882455849283746,2.31071571761277e-05,0.99999999999594,0.0686721123164941,0.901048566087417,0.0407442823052406,0.366761773866242,0.0287165067674527,0.999999999999715,0.0734670571378047,0.099892885379892,0.010406494140625,0.999999656836036,0.387260280132516,1,0.999897846648222,0.961387112736702,0.990882873535156
"T1031",0.544921875,0.0514989803686358,0.00171611173444067,0.999999999683129,3.74148128528766e-05,0.990909357458143,0.5,0.156446190772982,0.00202783527169579,1,0.000136983926082835,0.673304436176525,0.949255021699749,0.846245295623589,0.518913524034434,0.999999999999962,0.325921927310821,0.999998735081449,0.998308768054907,0.997999173108517,0.482436535224431,0.999999999974958,0.940968758889228,0.995058855564274,3.36245922273697e-10,3.63797880709171e-12,3.94636273222417e-14,2.64136243280902e-11,3.94595616650968e-14,7.45058059692382e-09,0.999963551948337,0.999866697613765,0.675502958134012,0.0605162569601122,0.999999999999962,0.999996185302734,0.00918977632844848,0.329492905646532,1.28489196176152e-06,0.0050273541985092,1,7.62939453125e-06
"T1041",0.8984375,0.999999997631472,0.999999999999999,0.999999184709783,0.999999999994751,0.999999999992618,0.125,0.999998857272089,1,0.999999768668204,0.999999998678816,0.999999999105022,2.47575540757393e-09,1.22878140018656e-06,1,0.999999248369403,0.999999999998976,0.99999999999166,1.27476239921308e-15,2.77778759938242e-16,9.81556115262778e-19,2.64136243280902e-11,1.13686837721616e-13,2.66540413288799e-13,8.54277840205206e-07,2.59213265962899e-07,7.72156335330455e-07,0.999999999974958,0.999999306847025,0.733906990395436,5.48199153870924e-12,1.37899717998412e-09,1.0530766975092e-12,1,7.12141635757554e-07,0.0192451477050781,7.58572313742191e-12,9.38770002228351e-10,8.52495039484336e-12,0.999999999999745,0.274037681913885,0.982883453369141
"T1043",0.673828125,0.913830624198799,0.338085835617349,0.999999957677531,0.0963854607100279,0.767376527247207,0.3671875,0.734549831615567,0.014484230518858,0.999999938827386,0.144874583490244,0.952772057998557,0.0873041158591424,0.269140636936243,0.37122873681791,0.99999999888316,0.000112247703722317,0.889896553356699,0.663572532717819,0.985670582836316,0.630050989609061,0.999999999591646,0.729955867347184,0.794417287646151,4.45732305058863e-08,6.94853952154517e-08,1.15437658194947e-09,4.29290055342342e-10,4.06033224994544e-12,1.86264514923096e-07,0.904677308755173,0.856716542443597,0.999889514490789,0.274194520451271,0.999999999996089,0.999034881591797,0.233834657790705,0.0479958117594405,0.110706146154457,0.207326117135761,0.999999858438969,0.00116729736328125
"T1045",0.455078125,0.999999999783762,0.999999992597907,0.999999990418546,0.999999999999453,0.999999999999997,0.58984375,0.999999999932498,0.99997529568013,0.999997933409759,0.999999999994265,0.999999999974073,2.26395682128308e-10,7.85860265750672e-11,0.93282634993878,0.999822689565493,1,0.999999999999997,7.60058572772894e-09,2.51637543192258e-05,0.0676089231370757,0.993410678516305,1,0.999999767553765,1.01151663494047e-08,2.27268537855707e-06,0.000180993798841072,0.00673754986837098,0.999999998682804,0.938733160495758,5.72670059253345e-13,6.02009603472745e-12,6.05952041428991e-17,1.13686837721616e-13,1.36127349761181e-09,0.000522613525390625,2.75065667236162e-15,2.73094099213461e-11,3.5066189735619e-15,2.39818998310491e-07,0.0643002241849899,0.999580383300781
"T112",0.1015625,0.999999999773604,0.91304867410434,0.785693942387733,0.516193921957991,6.80528514312093e-07,0.91796875,0.999999999998778,0.990095086358283,0.999995260910509,0.991593762934317,0.846607167855469,2.37019020062352e-10,1.56319401867222e-12,3.48425483523004e-12,6.77519940516035e-09,1.37259649041038e-15,1.27687540279916e-17,0.0876721324025273,0.010017331991511,0.999999999996596,0.969334658538432,0.694379661089783,0.000220916864750877,0.217132096231729,5.17923399456777e-06,0.999999993439165,0.0312199744630548,0.0061118258696326,0.00230634957551956,0.486296381442733,0.00856810369971931,0.999999999999999,0.309833402672894,0.993984484236424,0.0448837280273438,0.999999332871761,0.155232313485851,1,0.999784221292499,0.99788423627615,0.959285736083984
"T113",0.99609375,0.999999972838008,0.999999999918412,0.999992073201671,0.999999999627137,0.999999993404185,0.005859375,0.975572929789649,0.968111375583309,0.793621938119031,0.999998084046016,0.999979987127763,2.83064305955217e-08,0.0251010271568362,0.998754336111268,0.862936726283972,0.999999999671919,0.999998599727929,8.40472321186191e-11,0.0321980299064974,0.00125947975466864,0.136443414340742,0.999857931863517,0.942767929363576,8.27014217994279e-06,0.210522361187032,0.138248633171193,0.865286684387829,0.999999999021767,0.999700754880905,3.87847905415102e-10,1.98176070106848e-06,3.36402658327458e-10,0.000149942548432591,1.0112250334803e-09,0.02996826171875,6.75026386884542e-09,2.06942583529628e-05,1.4222916953955e-06,0.0579216199665097,0.000333882868289947,0.973072052001953
