"","datasetID","sampleID","predict.cluster","predict.cluster_withmultiple","NO.vote.1","NO.vote.2","NO.vote.3","NO.vote.4","NO.vote.5","NO.vote.6","NO.vote.7","class_1_vs_2.Pwilcox_greater","class_1_vs_3.Pwilcox_greater","class_1_vs_4.Pwilcox_greater","class_1_vs_5.Pwilcox_greater","class_1_vs_6.Pwilcox_greater","class_1_vs_7.Pwilcox_greater","class_2_vs_1.Pwilcox_greater","class_2_vs_3.Pwilcox_greater","class_2_vs_4.Pwilcox_greater","class_2_vs_5.Pwilcox_greater","class_2_vs_6.Pwilcox_greater","class_2_vs_7.Pwilcox_greater","class_3_vs_1.Pwilcox_greater","class_3_vs_2.Pwilcox_greater","class_3_vs_4.Pwilcox_greater","class_3_vs_5.Pwilcox_greater","class_3_vs_6.Pwilcox_greater","class_3_vs_7.Pwilcox_greater","class_4_vs_1.Pwilcox_greater","class_4_vs_2.Pwilcox_greater","class_4_vs_3.Pwilcox_greater","class_4_vs_5.Pwilcox_greater","class_4_vs_6.Pwilcox_greater","class_4_vs_7.Pwilcox_greater","class_5_vs_1.Pwilcox_greater","class_5_vs_2.Pwilcox_greater","class_5_vs_3.Pwilcox_greater","class_5_vs_4.Pwilcox_greater","class_5_vs_6.Pwilcox_greater","class_5_vs_7.Pwilcox_greater","class_6_vs_1.Pwilcox_greater","class_6_vs_2.Pwilcox_greater","class_6_vs_3.Pwilcox_greater","class_6_vs_4.Pwilcox_greater","class_6_vs_5.Pwilcox_greater","class_6_vs_7.Pwilcox_greater","class_7_vs_1.Pwilcox_greater","class_7_vs_2.Pwilcox_greater","class_7_vs_3.Pwilcox_greater","class_7_vs_4.Pwilcox_greater","class_7_vs_5.Pwilcox_greater","class_7_vs_6.Pwilcox_greater"
"1","TCGA_LIHC","TCGA.DD.A4NG.01A","4","4","0","0","1","4","0","1","1","3.26e-01","9.95e-01","1.00e+00","9.85e-01","1.00e+00","9.98e-01","7.15e-01","1.00e+00","1.00e+00","9.24e-01","9.67e-01","1.00e+00","5.61e-03","2.46e-04","1.00e+00","6.35e-01","9.98e-01","9.16e-01","2.48e-11","4.92e-06","6.27e-07","1.23e-03","2.12e-03","1.34e-04","1.57e-02","7.84e-02","3.67e-01","9.99e-01","9.87e-01","9.57e-01","1.27e-04","3.36e-02","2.43e-03","9.98e-01","1.32e-02","5.84e-01","1.99e-03","3.13e-05","8.46e-02","1.00e+00","4.53e-02","4.33e-01"
"2","TCGA_LIHC","TCGA.G3.AAV4.01A","4","4","0","0","2","6","1","1","0","7.15e-01","1.00e+00","1.00e+00","7.47e-01","9.99e-01","1.68e-01","3.26e-01","9.99e-01","1.00e+00","1.00e+00","9.99e-01","9.86e-01","7.29e-06","1.37e-03","1.00e+00","7.01e-03","1.69e-01","9.61e-05","2.45e-14","1.03e-13","4.54e-13","6.08e-10","6.25e-12","1.72e-11","2.56e-01","1.82e-04","9.93e-01","1.00e+00","9.98e-01","1.51e-01","8.66e-04","1.41e-03","8.32e-01","1.00e+00","2.08e-03","2.26e-02","8.33e-01","1.45e-02","1.00e+00","1.00e+00","8.55e-01","9.80e-01"
"3","TCGA_LIHC","TCGA.2Y.A9H1.01A","6","4,6,7","0","0","1","3","2","3","3","5.90e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","4.55e-01","9.75e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","3.23e-06","2.58e-02","1.00e+00","9.84e-01","1.00e+00","1.00e+00","4.00e-10","1.33e-05","1.21e-05","2.25e-01","9.42e-01","5.88e-01","7.93e-06","4.92e-05","1.58e-02","7.77e-01","9.98e-01","9.90e-01","1.07e-08","1.68e-06","4.78e-08","5.93e-02","2.26e-03","6.49e-01","1.62e-09","9.93e-09","1.41e-11","4.15e-01","1.07e-02","3.67e-01"
"4","TCGA_LIHC","TCGA.BC.A10Y.01A","3","3","1","0","6","0","1","4","0","5.45e-01","1.00e+00","7.22e-01","6.09e-01","9.10e-01","5.69e-07","5.00e-01","1.00e+00","9.72e-01","1.00e+00","1.00e+00","4.88e-01","1.53e-11","6.85e-09","8.71e-11","6.34e-10","7.92e-13","4.72e-17","2.80e-01","2.85e-02","1.00e+00","9.40e-01","1.00e+00","5.13e-02","3.95e-01","2.14e-05","1.00e+00","6.07e-02","1.00e+00","1.74e-01","9.12e-02","1.01e-05","1.00e+00","1.68e-09","1.70e-04","3.81e-06","1.00e+00","5.15e-01","1.00e+00","9.49e-01","8.32e-01","1.00e+00"
"5","TCGA_LIHC","TCGA.K7.AAU7.01A","2","2","1","4","0","0","1","1","3","9.73e-01","7.41e-06","1.44e-01","4.19e-02","8.96e-02","9.76e-01","3.71e-02","7.65e-06","2.70e-09","3.01e-06","2.88e-07","7.53e-03","1.00e+00","1.00e+00","7.85e-01","9.99e-01","1.00e+00","1.00e+00","8.58e-01","1.00e+00","2.16e-01","9.01e-01","8.91e-01","1.00e+00","9.59e-01","1.00e+00","5.18e-04","1.00e-01","2.32e-01","1.00e+00","9.11e-01","1.00e+00","1.09e-05","1.11e-01","7.70e-01","9.97e-01","2.40e-02","9.93e-01","6.40e-06","1.09e-07","4.77e-06","3.29e-03"
"6","TCGA_LIHC","TCGA.BC.A10W.01A","3","1,3","4","3","4","0","0","0","0","8.75e-01","7.36e-01","6.89e-06","2.49e-04","4.95e-06","1.45e-11","1.50e-01","4.20e-01","6.33e-11","5.00e-03","1.66e-07","8.30e-09","2.66e-01","5.84e-01","6.45e-12","4.75e-06","1.85e-11","2.11e-14","1.00e+00","1.00e+00","1.00e+00","7.11e-01","9.88e-01","8.78e-01","1.00e+00","9.95e-01","1.00e+00","2.92e-01","8.05e-02","9.71e-01","1.00e+00","1.00e+00","1.00e+00","1.24e-02","9.20e-01","9.23e-01","1.00e+00","1.00e+00","1.00e+00","1.23e-01","3.09e-02","8.37e-02"
"7","TCGA_LIHC","TCGA.DD.AACV.01A","3","3","1","0","6","0","1","4","0","1.25e-01","1.00e+00","4.72e-02","1.02e-02","3.30e-01","1.49e-09","8.98e-01","1.00e+00","9.80e-01","1.00e+00","1.00e+00","4.94e-01","6.95e-12","5.40e-13","1.40e-16","1.28e-13","1.74e-16","7.19e-19","9.53e-01","1.98e-02","1.00e+00","7.87e-01","1.00e+00","1.15e-02","9.90e-01","2.50e-05","1.00e+00","2.16e-01","1.00e+00","1.10e-01","6.72e-01","1.61e-05","1.00e+00","1.60e-08","3.51e-06","3.81e-06","1.00e+00","5.09e-01","1.00e+00","9.89e-01","8.95e-01","1.00e+00"
"8","TCGA_LIHC","TCGA.DD.AAD3.01A","7","6,7","0","0","1","2","3","5","5","7.15e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","3.26e-01","9.98e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","4.53e-05","2.37e-03","9.96e-01","1.00e+00","1.00e+00","1.00e+00","5.10e-09","1.31e-04","4.35e-03","9.93e-01","1.00e+00","1.00e+00","1.30e-06","3.02e-04","1.76e-05","7.36e-03","1.00e+00","1.00e+00","1.82e-10","2.36e-08","6.69e-16","1.43e-10","3.51e-06","9.63e-01","1.51e-14","8.87e-11","1.99e-18","1.56e-09","1.69e-04","4.07e-02"
"9","TCGA_LIHC","TCGA.DD.A1EI.01A","7","7","0","0","0","0","1","2","5","2.48e-01","1.70e-01","7.02e-01","9.75e-01","9.83e-01","1.00e+00","7.87e-01","5.97e-01","1.27e-02","7.68e-01","6.58e-01","1.00e+00","8.32e-01","4.07e-01","3.39e-02","9.98e-01","1.00e+00","1.00e+00","3.00e-01","9.87e-01","9.66e-01","1.00e+00","1.00e+00","1.00e+00","2.59e-02","2.36e-01","1.66e-03","2.07e-05","4.19e-01","1.00e+00","1.72e-02","3.45e-01","4.82e-09","2.45e-08","5.83e-01","9.96e-01","1.39e-07","6.77e-06","3.15e-09","2.40e-11","4.60e-04","5.20e-03"
"10","TCGA_LIHC","TCGA.DD.AAC9.01A","7","6,7","0","0","1","2","2","5","5","9.18e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.02e-01","5.44e-01","9.98e-01","9.89e-01","1.00e+00","1.00e+00","4.66e-05","4.60e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.11e-10","2.46e-03","1.83e-06","7.48e-01","1.00e+00","1.00e+00","5.33e-07","1.12e-02","3.58e-08","2.55e-01","1.00e+00","1.00e+00","3.18e-10","1.34e-05","3.93e-16","2.18e-05","1.25e-06","8.77e-01","9.98e-16","1.66e-09","5.25e-19","5.27e-09","1.76e-05","1.32e-01"
"11","TCGA_LIHC","TCGA.DD.AACT.01A","7","7","0","0","1","1","3","4","5","7.52e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","2.85e-01","9.97e-01","9.79e-01","1.00e+00","1.00e+00","1.00e+00","1.25e-06","3.31e-03","9.86e-01","1.00e+00","1.00e+00","1.00e+00","3.77e-08","2.12e-02","1.41e-02","9.29e-01","1.00e+00","1.00e+00","8.95e-07","4.25e-05","6.40e-06","7.19e-02","9.95e-01","9.99e-01","2.46e-09","1.70e-04","2.25e-14","3.02e-06","5.33e-03","7.39e-01","1.38e-12","4.01e-09","1.27e-15","5.32e-08","6.92e-04","2.75e-01"
"12","TCGA_LIHC","TCGA.GJ.A6C0.01A","3","3","0","1","3","0","0","2","0","8.75e-01","9.98e-01","2.45e-01","1.77e-02","9.75e-01","2.01e-02","1.50e-01","8.90e-01","9.23e-05","1.92e-02","4.30e-01","2.36e-01","1.56e-03","1.13e-01","3.43e-06","6.55e-06","2.04e-02","1.70e-05","7.56e-01","1.00e+00","1.00e+00","5.38e-01","1.00e+00","9.87e-01","9.83e-01","9.81e-01","1.00e+00","4.65e-01","1.00e+00","9.98e-01","2.58e-02","5.72e-01","9.80e-01","3.35e-08","1.17e-06","2.09e-01","9.80e-01","7.67e-01","1.00e+00","1.35e-02","2.12e-03","8.04e-01"
"13","TCGA_LIHC","TCGA.CC.5258.01A","1","1","5","3","3","0","2","1","0","9.77e-03","1.49e-09","1.30e-11","4.92e-05","2.51e-10","4.04e-12","9.94e-01","1.51e-01","2.93e-10","6.45e-01","1.92e-06","3.81e-05","1.00e+00","8.52e-01","8.21e-08","7.89e-01","1.95e-06","2.31e-07","1.00e+00","1.00e+00","1.00e+00","1.00e+00","9.99e-01","9.80e-01","1.00e+00","3.60e-01","2.13e-01","8.45e-09","9.31e-09","1.40e-02","1.00e+00","1.00e+00","1.00e+00","7.41e-04","1.00e+00","9.95e-01","1.00e+00","1.00e+00","1.00e+00","2.07e-02","9.87e-01","6.02e-03"
"14","TCGA_LIHC","TCGA.DD.AADP.01A","6","6","0","0","2","1","1","4","2","1.80e-01","1.00e+00","1.00e+00","9.99e-01","1.00e+00","9.99e-01","8.50e-01","1.00e+00","9.87e-01","1.00e+00","1.00e+00","1.00e+00","4.55e-08","5.01e-07","9.70e-02","9.35e-01","1.00e+00","9.77e-01","6.91e-05","1.34e-02","9.04e-01","9.92e-01","9.99e-01","9.79e-01","1.04e-03","7.56e-05","6.54e-02","8.39e-03","6.06e-01","9.19e-01","2.37e-04","3.73e-04","1.39e-04","5.59e-04","3.96e-01","6.01e-01","5.51e-04","2.33e-06","2.28e-02","2.13e-02","8.49e-02","4.16e-01"
